,Places,ID,Location,unknown,religious,pharaonic,modern,ancient,natural,romanian,humanly,fun,Islamic,Coptic
0,The Egyptian Museum In Cairo,0,Cairo,0,0,1,0,1,0,0,1,0,0,0
1,The Hanging Church,1,Cairo,0,1,0,0,1,0,0,1,0,0,1
2,Ben Ezra Synagogue,2,Cairo,0,1,0,1,0,0,0,1,0,0,1
3,Amr Ibn Al-Aas Mosque,3,Cairo,0,1,0,0,1,0,0,1,0,1,0
4,Wadi El Natrun monasteries,4,Behira,0,1,0,0,1,0,0,1,0,0,1
5,St. Barbara Church,5,Cairo,0,1,0,0,1,0,0,1,0,0,1
6,Coptic Museum,6,Cairo,0,1,0,0,1,0,0,1,0,0,1
7,National Museum Of Alexandria,7,Alexanderia,0,0,0,1,1,0,1,1,0,0,0
8,Bibliotheca Alexandria,8,Alexanderia,0,0,0,1,0,0,0,1,1,0,0
9,Luxor Temple,9,Luxor,0,0,1,0,1,0,0,1,0,0,0
10,Karnak Temple,10,Luxor,0,0,1,0,1,0,0,1,0,0,0
11,Valley Of The Kings,11,Luxor,0,0,1,0,1,0,0,1,0,0,0
12,Valley Of The Queens,12,Luxor,0,0,1,0,1,0,0,1,0,0,0
13,Deir El Medineh,13,Luxor,0,0,1,0,1,0,0,1,0,0,0
14,Tel Basta,14,Sharqia,0,0,1,0,1,0,0,1,0,0,0
15,Dahshur Pyramids,15,Giza,0,0,1,0,1,0,0,1,0,0,0
16,"Giza Plateau",16,Giza,0,0,1,0,1,0,0,1,0,0,0
17,Saqqara,17,Giza,0,0,1,0,1,0,0,1,0,0,0
18,Royal Jewelry Museum,18,Alexanderia,0,0,0,1,0,0,1,1,1,0,0
19,Philae,19,Aswan,0,0,1,0,1,0,0,1,0,0,0
20,Abu Simbel,20,Aswan,0,0,1,0,1,0,0,1,0,0,0
21,Mummification Museum,21,Luxor,0,0,1,0,1,0,0,1,0,0,0
22,Hurghada Museum,22,Hurghada,0,0,1,1,0,0,0,1,1,0,0
23,Sharm al-Sheikh Museum,23,Sharm al-Sheikh,0,0,1,1,0,0,0,1,1,0,0
24,Saint Catherine's Monastery,24,South of Sina,0,1,0,0,1,0,0,1,1,0,1
25,Citadel of saladin cairo,25,Cairo,0,1,0,0,1,0,0,1,0,1,0
